simulation_index,ct,vt,infections,deaths,hospitalisations,YLLs,YLL_cost,discounted_costs,discounted_DALYs,cost_of_DALYs,discounted_doses,base_costs,base_DALYs,incremental_costs,incremental_DALYs,threshold_price,ct_n
72,5,5,10045687933.165281,3448643.0725875185,8240462.472209561,53686706.27627174,1217531630026.6172,12411491101.063225,40047745.9032656,893333725542.9203,25026652660.0037,120670142363.20828,6717645600134.249,108258651262.14505,5824311874591.329,237.05010040494156,"0-18, 65+"
73,1,1,93434043567.61053,25179176.611572668,115855734.27476583,425690341.00819165,6003930023890.002,128161930973.01868,292947210.219039,4184784654454.495,10923540756.063541,147976994983.42743,4473110122593.006,19815064010.408752,288325468138.51074,28.208850868970664,0-5
73,1,2,87122810100.44696,23617057.49999529,105645630.6793864,392280395.1044245,5813813138551.944,122319960050.34286,270976491.3532368,4055064570163.056,9188697871.065077,147976994983.42743,4473110122593.006,25657034933.084564,418045552429.9497,48.28786337183203,0-5
73,1,3,68667673875.61108,19095075.969999325,78467849.65882713,301645845.71833664,5223176558628.193,104055387742.1036,211303426.30529976,3650238931136.787,7582053131.20603,147976994983.42743,4473110122593.006,43921607241.32382,822871191456.21875,114.32164661706443,0-5
73,1,4,65448913100.54382,18300515.022865653,76596070.57450159,287339983.1793579,5134692666329.871,103918857520.54758,202277205.90612203,3592245753677.1553,6760205210.603569,147976994983.42743,4473110122593.006,44058137462.87985,880864368915.8506,136.81870262280853,0-5
73,1,5,45151070914.50269,13317034.127014339,50989035.94483777,198206357.28225133,4297730538042.5083,82680874433.13232,143549423.46282297,3036723584779.6,5912934240.343509,147976994983.42743,4473110122593.006,65296120550.295105,1436386537813.4058,253.96572958952126,0-5
73,2,1,70582982185.51326,19776789.98567223,91813455.88435508,327712178.10898453,5122440157539.293,107153087695.07828,225618765.6496932,3560467075619.4946,23679607756.171497,147976994983.42743,4473110122593.006,40823907288.34915,912643046973.5112,40.2653187535745,0-12
73,2,2,55818279076.28707,16115147.593079753,71261431.38593304,256116111.59319058,4655720430403.709,95277044673.24208,179284608.86048108,3244602018032.8203,17842114729.520954,147976994983.42743,4473110122593.006,52699950310.18535,1228508104560.1855,71.80808297071017,0-12
73,2,3,36154579504.77208,11152470.481430303,44347458.03805839,165486861.96181467,3695316858491.4062,70088146966.00882,115899250.47233808,2570985769885.143,12646787374.92289,147976994983.42743,4473110122593.006,77888848017.41861,1902124352707.8628,156.56254367424708,0-12
73,2,4,37308817661.81451,11495761.842226276,46206222.13142865,169766536.00321275,3859270301546.3306,74231506538.87834,118618686.36594753,2676804118389.735,10196251278.55034,147976994983.42743,4473110122593.006,73745488444.54909,1796306004203.271,183.40578724082758,0-12
73,2,5,26987002616.21317,8904051.105088357,32339219.49102989,127124293.62085497,3144851978458.7095,57030931007.61126,89512700.75093745,2187911410071.0417,7822621884.091012,147976994983.42743,4473110122593.006,90946063975.81616,2285198712521.964,303.752988666138,0-12
73,3,1,53288456516.79255,15257458.77592624,71675355.06873392,246006447.49972513,4376097544174.352,91491264168.35527,171772751.08302072,3044826745682.198,42101191878.00588,147976994983.42743,4473110122593.006,56485730815.07216,1428283376910.8076,35.266676345605774,0-18
73,3,2,38314350325.19428,11492671.39896906,51172111.78212302,176093441.2854183,3668489621091.8438,74316042278.97284,122999784.04841667,2554753171694.6978,33040416541.478416,147976994983.42743,4473110122593.006,73660952704.45459,1918356950898.308,60.29033868571284,0-18
73,3,3,19654403755.62568,6771784.074665744,25561381.09676771,96127854.396277,2371623391233.5,43921538326.60825,67630507.83840433,1646771058320.8098,24353858242.242054,147976994983.42743,4473110122593.006,104055456656.81918,2826339064272.1963,120.32567865761047,0-18
73,3,4,19941817060.358902,6936087.691397922,26098536.927184805,98313771.85830067,2424564398698.5483,44618906425.607056,69052946.256803,1681541166380.1294,19828398517.441685,147976994983.42743,4473110122593.006,103358088557.82037,2791568956212.8765,145.99903477954751,0-18
73,3,5,11226320994.25888,4188884.716830831,14385621.267487464,58932714.09068203,1343000007598.6348,23016000788.797287,42334636.926029116,954635180676.4906,15088415054.851564,147976994983.42743,4473110122593.006,124960994194.63014,3518474941916.515,241.47240931973346,0-18
73,4,1,100638728407.25356,23696387.219741553,131753068.4877305,441474010.0530453,5451030337939.97,132022397965.65477,303824824.8030235,3827288553412.937,21108767597.037346,147976994983.42743,4473110122593.006,15954597017.77266,645821569180.0688,31.350772287185684,65+
73,4,2,99477804681.77347,22589192.06175831,128802436.44565076,427999021.5068182,5228535530363.946,128947113736.63919,294984242.2149854,3681189304981.8955,17856674700.746803,147976994983.42743,4473110122593.006,19029881246.78824,791920817611.1104,45.414429755165045,65+
73,4,3,95351131759.80493,18865749.264945455,118437239.82476084,382506419.5330762,4437515837288.348,116952094314.28261,265174766.9740887,3158951084545.779,14246761975.552242,147976994983.42743,4473110122593.006,31024900669.14482,1314159038047.227,94.42032800328504,65+
73,4,4,97341751685.85596,20522127.886903074,123289813.99003856,402838031.1198313,4787550311581.381,122290801119.07846,277723373.06601286,3375961514492.1753,12150106884.440035,147976994983.42743,4473110122593.006,25686193864.34897,1097148608100.8306,92.41357402403854,65+
73,4,5,92825388885.68922,16504067.091555841,112029708.75677916,353599904.4242401,3928193003877.9785,108954480433.09935,244979651.8466875,2799388299905.4814,9801922573.7434,147976994983.42743,4473110122593.006,39022514550.32808,1673721822687.5244,174.73555053636252,65+
73,5,1,51632733372.387985,13437678.734733459,67319808.95892732,223580048.3751331,3836334422301.3677,84111251963.94002,156712449.04480985,2683306950172.216,65388147515.48452,147976994983.42743,4473110122593.006,63865743019.48741,1789803172420.79,28.34869905132748,"0-18, 65+"
73,5,2,36758808548.96336,9463285.988881651,46600706.755186416,151969826.62131107,3040807969505.5337,66159937706.976524,106832451.46197818,2136480610027.1555,52124161419.16343,147976994983.42743,4473110122593.006,81817057276.4509,2336629512565.8506,46.39780293814301,"0-18, 65+"
73,5,3,17850134316.592392,4457585.379373037,20549668.763500802,68498355.3197379,1644104904113.581,34719177862.01799,49401268.81856172,1163532654123.9465,39203836532.119644,147976994983.42743,4473110122593.006,113257817121.40944,3309577468469.0596,87.30868170991748,"0-18, 65+"
73,5,4,17888622554.71706,4750462.10638516,20997820.879603807,71980954.31315854,1702843519719.8691,34693620226.420616,51449963.844287544,1198317227524.1282,32341609744.126324,147976994983.42743,4473110122593.006,113283374757.0068,3274792895068.878,104.75904868777305,"0-18, 65+"
73,5,5,9196421957.593666,2106590.6383812926,9702097.446599815,33778127.04702979,693929819188.1483,14180465015.441837,25302539.463992868,512127662775.8234,25026652660.0037,147976994983.42743,4473110122593.006,133796529967.9856,3960982459817.1826,163.6167267518453,"0-18, 65+"
74,1,1,95212902176.7455,29812437.725562047,128016386.11162558,516372624.4799258,6722103309479.551,136199131450.84126,356978578.7691598,4723660997821.681,10923540756.063541,155869677537.36826,5059113851613.1,19670546086.526993,335452853791.41895,32.50991668437001,0-5
74,1,2,89482225127.24962,28053223.229493152,117759799.89772984,477600384.3131691,6501295384119.835,130092587717.1982,330983480.36964124,4570833938833.14,9188697871.065077,155869677537.36826,5059113851613.1,25777089820.17006,488279912779.95996,55.94448852419879,0-5
74,1,3,71801062942.58228,22759701.153321337,88661773.78945974,370317301.15412974,5785395512462.227,110285975543.59814,258860547.90255925,4080701269988.741,7582053131.20603,155869677537.36826,5059113851613.1,45583701993.77011,978412581624.3584,135.0552767038244,0-5
