country_code,simulation_index,age_grp,value
AZE,72,1,334525.26252755005
AZE,73,1,319242.00991804403
AZE,74,1,320607.766273551
AZE,75,1,328960.76529075817
AZE,76,1,321131.89375345287
AZE,77,1,332472.1554517316
AZE,78,1,328463.0755381551
AZE,79,1,331459.1279277343
AZE,80,1,334385.9569931382
AZE,81,1,323821.3128083556
AZE,82,1,321274.5681579849
AZE,83,1,323799.57356553565
AZE,84,1,323967.8052499425
AZE,85,1,333345.3023183451
AZE,86,1,327112.0416239689
AZE,87,1,322139.6376945433
AZE,88,1,328228.37900182774
AZE,89,1,337483.4563572288
AZE,90,1,330902.7124896052
AZE,91,1,325271.4394825479
AZE,92,1,321242.43105738045
AZE,93,1,322029.90950386884
AZE,94,1,323793.4148688365
AZE,95,1,326467.9919110902
AZE,96,1,313973.52892061154
AZE,97,1,327963.2426635216
AZE,98,1,326392.69542892865
AZE,99,1,329672.48251506436
AZE,100,1,327068.87145236233
AZE,1,2,1282564.683130866
AZE,2,2,1299327.5735324898
AZE,3,2,1319812.9338758106
AZE,4,2,1296427.1255502838
AZE,5,2,1301724.8478172503
AZE,6,2,1285296.4329202871
AZE,7,2,1271695.1936784114
AZE,8,2,1279202.6442052138
AZE,9,2,1290888.2569343317
AZE,10,2,1261454.8511452607
AZE,11,2,1313456.6617749135
AZE,12,2,1249130.9848686738
AZE,13,2,1290369.3015273158
AZE,14,2,1304530.174649962
AZE,15,2,1293841.4422947587
AZE,16,2,1284182.932210871
AZE,17,2,1270647.712748184
AZE,18,2,1249793.2082568726
AZE,19,2,1282941.2742912963
AZE,20,2,1265725.2065352576
AZE,21,2,1267069.7950284027
AZE,22,2,1303775.0567671552
AZE,23,2,1284880.1938747994
AZE,24,2,1294116.590159075
AZE,25,2,1296555.4122274008
AZE,26,2,1273290.649193123
AZE,27,2,1303313.3206498579
AZE,28,2,1313149.1062538018
AZE,29,2,1281103.3013450007
AZE,30,2,1278777.653312686
AZE,31,2,1286738.5520653494
AZE,32,2,1288062.74249654
AZE,33,2,1278138.9449511708
AZE,34,2,1282107.6209868526
AZE,35,2,1266613.1586972505
AZE,36,2,1287861.2436517163
AZE,37,2,1276803.4353879152
AZE,38,2,1274669.7961071923
AZE,39,2,1273072.1620688683
AZE,40,2,1286862.6042273475
AZE,41,2,1280107.7277522248
AZE,42,2,1300204.4400168776
AZE,43,2,1278193.446860305
AZE,44,2,1273326.3726601244
AZE,45,2,1296782.8208573903
AZE,46,2,1296503.2899432338
AZE,47,2,1250764.5164953133
AZE,48,2,1287420.0125281897
AZE,49,2,1268482.9625513733
AZE,50,2,1278025.9066600206
AZE,51,2,1263778.6177838452
AZE,52,2,1273243.8969895577
AZE,53,2,1281218.7620979415
AZE,54,2,1310704.1467287077
AZE,55,2,1286574.2964799607
AZE,56,2,1297013.7905788207
AZE,57,2,1288986.1695550252
AZE,58,2,1271557.9112909755
AZE,59,2,1267382.7973885734
AZE,60,2,1284087.195704192
AZE,61,2,1266381.5027932655
AZE,62,2,1287624.321116673
AZE,63,2,1280513.81573958
