name,country_code,cluster_name,aggr_ifr,ifr_per_100000
Congo - Kinshasa,COD,Africa,2.6975996133938364e-4,26.975996133938363
Congo - Brazzaville,COG,Africa,2.702640139001885e-4,27.02640139001885
Comoros,COM,Africa,4.0251462541818835e-4,40.25146254181883
Cape Verde,CPV,Africa,5.091826399072997e-4,50.918263990729976
Ethiopia,ETH,Africa,2.5107672689708867e-4,25.107672689708867
Gabon,GAB,Africa,2.880830962880168e-4,28.80830962880168
Ghana,GHA,Africa,3.202786674695243e-4,32.027866746952434
Guinea,GIN,Africa,2.8641390814909093e-4,28.641390814909094
Gambia,GMB,Africa,2.642861584466028e-4,26.428615844660282
Guinea-Bissau,GNB,Africa,2.2239345655470738e-4,22.23934565547074
Equatorial Guinea,GNQ,Africa,2.5886637056228795e-4,25.886637056228796
Kenya,KEN,Africa,2.5165177111140843e-4,25.165177111140842
Liberia,LBR,Africa,2.717693211875886e-4,27.176932118758863
Lesotho,LSO,Africa,3.5330990007992444e-4,35.33099000799245
Madagascar,MDG,Africa,2.6396390544419416e-4,26.396390544419415
Mali,MLI,Africa,2.657664730315671e-4,26.57664730315671
Mozambique,MOZ,Africa,3.018344333218952e-4,30.18344333218952
Mauritania,MRT,Africa,2.6645802871938794e-4,26.645802871938795
Mauritius,MUS,Africa,3.0209275447148833e-4,30.209275447148833
Malawi,MWI,Africa,3.6151988542097567e-4,36.15198854209757
Namibia,NAM,Africa,3.719644145670787e-4,37.19644145670787
Niger,NER,Africa,2.6905436821374526e-4,26.905436821374526
Nigeria,NGA,Africa,2.846038627869591e-4,28.46038627869591
Sudan,SDN,Africa,2.689749999507455e-4,26.897499995074547
Senegal,SEN,Africa,2.569173100103166e-4,25.69173100103166
Sierra Leone,SLE,Africa,2.990812464367898e-4,29.908124643678978
South Sudan,SSD,Africa,2.6128876071501673e-4,26.128876071501672
São Tomé & Príncipe,STP,Africa,3.1482125794066396e-4,31.482125794066395
Eswatini,SWZ,Africa,3.2702224353416554e-4,32.702224353416554
Chad,TCD,Africa,2.53014916448686e-4,25.3014916448686
Togo,TGO,Africa,2.72123896750249e-4,27.2123896750249
Tanzania,TZA,Africa,3.153440999359088e-4,31.534409993590877
Uganda,UGA,Africa,2.472140974997675e-4,24.721409749976747
South Africa,ZAF,Africa,5.398110878204017e-4,53.981108782040174
Zambia,ZMB,Africa,2.6033697444999336e-4,26.033697444999337
Zimbabwe,ZWE,Africa,3.1235091017442056e-4,31.235091017442056
Somalia,SOM,Africa,2.756938296816448e-4,27.569382968164483
Afghanistan,AFG,Asia-Europe,1.197550203823189e-4,11.97550203823189
United Arab Emirates,ARE,Asia-Europe,1.4438972253928316e-5,1.4438972253928317
Armenia,ARM,Asia-Europe,8.668651383930569e-5,8.66865138393057
Azerbaijan,AZE,Asia-Europe,1.078922087955085e-4,10.78922087955085
Bahrain,BHR,Asia-Europe,2.6123492842643863e-5,2.6123492842643863
Cyprus,CYP,Asia-Europe,1.1558741162529642e-4,11.558741162529643
Djibouti,DJI,Asia-Europe,1.3674712295057864e-4,13.674712295057864
Egypt,EGY,Asia-Europe,1.817027279726206e-4,18.17027279726206
Eritrea,ERI,Asia-Europe,1.4811814330170046e-4,14.811814330170046
Georgia,GEO,Asia-Europe,1.1470420159095349e-4,11.47042015909535
Iran,IRN,Asia-Europe,7.988131146015811e-5,7.988131146015811
Iraq,IRQ,Asia-Europe,1.2207004201138297e-4,12.207004201138297
Israel,ISR,Asia-Europe,8.841549620884857e-5,8.841549620884857
Jordan,JOR,Asia-Europe,5.30278446785866e-5,5.30278446785866
Kazakhstan,KAZ,Asia-Europe,1.091445855476712e-4,10.914458554767121
Kyrgyzstan,KGZ,Asia-Europe,3.4704508716737496e-5,3.4704508716737497
Kuwait,KWT,Asia-Europe,5.1748054707327366e-5,5.1748054707327364
Lebanon,LBN,Asia-Europe,5.0748679271542154e-5,5.074867927154216
Oman,OMN,Asia-Europe,5.922921406911939e-5,5.922921406911939
Pakistan,PAK,Asia-Europe,1.1044792761908363e-4,11.044792761908363
Palestinian Territories,PSE,Asia-Europe,4.9675630730710785e-5,4.967563073071078
Qatar,QAT,Asia-Europe,1.1826725062982505e-5,1.1826725062982506
Rwanda,RWA,Asia-Europe,1.3560164308043204e-4,13.560164308043204
Saudi Arabia,SAU,Asia-Europe,6.044837191445688e-5,6.044837191445688
Syria,SYR,Asia-Europe,5.878489850124786e-5,5.878489850124786
Tajikistan,TJK,Asia-Europe,1.4141099735747747e-4,14.141099735747746
Turkmenistan,TKM,Asia-Europe,9.525280369058316e-5,9.525280369058317
Turkey,TUR,Asia-Europe,8.616366607004036e-5,8.616366607004036
Uzbekistan,UZB,Asia-Europe,8.987600965054977e-5,8.987600965054977
Yemen,YEM,Asia-Europe,1.4152547334937536e-4,14.152547334937536
