country_code,simulation_index,age_grp,ifr,iso3c,itz
TWN,8,1,2.3984345198120447e-6,TWN,Eastern and Southern Asia
BGD,9,1,1.615390010621502e-4,BGD,Eastern and Southern Asia
BRN,9,1,1.1857657007663057e-5,BRN,Eastern and Southern Asia
BTN,9,1,9.318369889666562e-5,BTN,Eastern and Southern Asia
CHN,9,1,1.280469320216159e-5,CHN,Eastern and Southern Asia
HKG,9,1,3.320468738448528e-6,HKG,Eastern and Southern Asia
IDN,9,1,4.276011798952935e-5,IDN,Eastern and Southern Asia
IND,9,1,1.4582908470678398e-4,IND,Eastern and Southern Asia
KHM,9,1,4.018093514236569e-4,KHM,Eastern and Southern Asia
KOR,9,1,1.3317381870455884e-6,KOR,Eastern and Southern Asia
LAO,9,1,1.1715703906403384e-4,LAO,Eastern and Southern Asia
LKA,9,1,2.01410910819025e-5,LKA,Eastern and Southern Asia
MAC,9,1,9.127210596145983e-6,MAC,Eastern and Southern Asia
MDV,9,1,4.370681446439383e-5,MDV,Eastern and Southern Asia
MMR,9,1,6.987065662291158e-5,MMR,Eastern and Southern Asia
MNG,9,1,4.122500098531766e-5,MNG,Eastern and Southern Asia
MYS,9,1,1.851554087370426e-5,MYS,Eastern and Southern Asia
NPL,9,1,3.20575030738643e-4,NPL,Eastern and Southern Asia
PHL,9,1,3.329296396478899e-4,PHL,Eastern and Southern Asia
PNG,9,1,5.6111702447411245e-5,PNG,Eastern and Southern Asia
PRK,9,1,4.630430866184384e-5,PRK,Eastern and Southern Asia
RUS,9,1,3.083447097314494e-5,RUS,Eastern and Southern Asia
SGP,9,1,1.3850259857739433e-5,SGP,Eastern and Southern Asia
THA,9,1,3.395818810546728e-5,THA,Eastern and Southern Asia
TLS,9,1,2.440356604959028e-4,TLS,Eastern and Southern Asia
VNM,9,1,1.3731076069979732e-5,VNM,Eastern and Southern Asia
JPN,9,1,2.8977822909075195e-6,JPN,Eastern and Southern Asia
