country,metasource,STRAIN,n_data_points,start_date,end_date,min_val,max_val,index
Ghana,NONSENT,INF_A,339,2019-10-07,2019-12-23,0,203,14
Ghana,NONSENT,INF_B,63,2011-03-21,2011-08-15,0,203,1
Ghana,NONSENT,INF_B,105,2012-06-11,2012-09-24,0,203,2
Ghana,NONSENT,INF_B,164,2013-11-18,2014-03-03,0,203,3
Ghana,NONSENT,INF_B,165,2014-03-17,2014-05-05,0,203,4
Ghana,NONSENT,INF_B,176,2014-07-28,2014-09-15,0,203,5
Ghana,NONSENT,INF_B,177,2014-09-29,2014-11-24,0,203,6
Ghana,NONSENT,INF_B,192,2015-03-16,2015-08-31,0,203,7
Ghana,NONSENT,INF_B,236,2016-07-18,2016-12-19,0,203,8
Ghana,NONSENT,INF_B,286,2017-12-11,2018-05-14,0,203,9
Ghana,NONSENT,INF_B,294,2018-07-16,2018-11-26,0,203,10
Ghana,NONSENT,INF_B,334,2019-09-09,2019-11-25,0,203,11
Turkey,NONSENT,INF_A,27,2010-12-27,2011-04-11,0,1423,1
Turkey,NONSENT,INF_A,58,2011-11-28,2012-03-05,0,1423,2
Turkey,NONSENT,INF_A,94,2012-12-10,2013-04-01,0,1423,3
Turkey,NONSENT,INF_A,122,2013-11-18,2014-01-27,0,1423,4
Turkey,NONSENT,INF_A,148,2015-01-05,2015-05-04,0,1423,5
Turkey,NONSENT,INF_A,166,2015-12-07,2016-03-14,0,1423,6
Turkey,NONSENT,INF_A,185,2016-12-12,2017-02-13,0,1423,7
Turkey,NONSENT,INF_A,222,2017-11-13,2018-02-26,0,1423,8
Turkey,NONSENT,INF_A,242,2018-11-26,2019-02-25,0,1423,9
Turkey,NONSENT,INF_A,259,2019-11-11,2020-01-27,0,1423,10
Turkey,NONSENT,INF_B,23,2010-11-29,2011-04-04,0,1423,1
Turkey,NONSENT,INF_B,65,2012-02-06,2012-05-07,0,1423,2
Turkey,NONSENT,INF_B,142,2013-12-23,2014-05-12,0,1423,3
Turkey,NONSENT,INF_B,155,2015-01-19,2015-05-11,0,1423,4
Turkey,NONSENT,INF_B,175,2016-01-04,2016-05-02,0,1423,5
Turkey,NONSENT,INF_B,186,2016-12-05,2017-05-01,0,1423,6
Turkey,NONSENT,INF_B,214,2017-11-27,2018-05-07,0,1423,7
Turkey,NONSENT,INF_B,238,2019-03-04,2019-05-13,0,1423,8
Turkey,NONSENT,INF_B,247,2019-12-02,2020-01-27,0,1423,9
Turkey,SENTINEL,INF_A,7,2013-11-25,2014-01-27,0,1423,1
Turkey,SENTINEL,INF_A,33,2015-01-19,2015-05-04,0,1423,2
Turkey,SENTINEL,INF_A,51,2015-12-07,2016-03-07,0,1423,3
Turkey,SENTINEL,INF_A,68,2016-11-21,2017-02-20,0,1423,4
Turkey,SENTINEL,INF_A,104,2017-11-13,2018-02-26,0,1423,5
Turkey,SENTINEL,INF_A,123,2018-11-19,2019-02-25,0,1423,6
Turkey,SENTINEL,INF_A,143,2019-12-02,2020-01-27,0,1423,7
Turkey,SENTINEL,INF_B,16,2014-01-27,2014-05-05,0,1423,1
Turkey,SENTINEL,INF_B,28,2015-01-19,2015-04-27,0,1423,2
Turkey,SENTINEL,INF_B,53,2016-01-25,2016-04-11,0,1423,3
Turkey,SENTINEL,INF_B,74,2017-01-23,2017-05-01,0,1423,4
Turkey,SENTINEL,INF_B,104,2017-12-11,2018-03-19,0,1423,5
Turkey,SENTINEL,INF_B,135,2019-03-04,2019-09-30,0,1423,6
Turkey,SENTINEL,INF_B,144,2019-12-09,2020-01-27,0,1423,7
UK,NONSENT,INF_A,13,2010-11-22,2011-02-28,0,2682,1
UK,NONSENT,INF_A,54,2011-12-19,2012-05-07,0,2682,2
UK,NONSENT,INF_A,83,2012-12-03,2013-04-29,0,2682,3
UK,NONSENT,INF_A,116,2013-12-23,2014-05-05,0,2682,4
UK,NONSENT,INF_A,145,2014-12-01,2015-03-16,0,2682,5
UK,NONSENT,INF_A,181,2015-11-30,2016-05-02,0,2682,6
UK,NONSENT,INF_A,208,2016-11-14,2017-03-27,0,2682,7
UK,NONSENT,INF_A,239,2017-11-06,2018-05-07,0,2682,8
UK,NONSENT,INF_A,262,2018-10-22,2019-05-13,0,2682,9
UK,NONSENT,INF_A,281,2019-09-30,2020-03-23,0,2682,10
UK,NONSENT,INF_B,10,2010-11-01,2011-05-02,0,2682,1
UK,NONSENT,INF_B,51,2012-02-20,2012-06-11,0,2682,2
UK,NONSENT,INF_B,70,2012-10-29,2013-04-29,0,2682,3
UK,NONSENT,INF_B,161,2015-02-02,2015-06-15,0,2682,4
UK,NONSENT,INF_B,187,2015-12-21,2016-05-30,0,2682,5
UK,NONSENT,INF_B,214,2016-12-12,2017-05-29,0,2682,6
UK,NONSENT,INF_B,235,2017-10-30,2018-05-14,0,2682,7
UK,NONSENT,INF_B,319,2019-12-30,2020-03-30,0,2682,8
UK,SENTINEL,INF_A,10,2013-12-09,2014-04-14,0,2682,1
UK,SENTINEL,INF_A,39,2014-12-01,2015-03-23,0,2682,2
UK,SENTINEL,INF_A,67,2015-12-07,2016-04-25,0,2682,3
UK,SENTINEL,INF_A,95,2016-11-28,2017-03-13,0,2682,4
UK,SENTINEL,INF_A,124,2017-11-06,2018-04-23,0,2682,5
UK,SENTINEL,INF_A,148,2018-11-26,2019-04-01,0,2682,6
UK,SENTINEL,INF_A,173,2019-11-04,2020-02-17,0,2682,7
UK,SENTINEL,INF_B,61,2014-12-22,2015-05-11,0,2682,1
UK,SENTINEL,INF_B,84,2015-12-21,2016-05-23,0,2682,2
UK,SENTINEL,INF_B,112,2016-12-26,2017-05-29,0,2682,3
UK,SENTINEL,INF_B,130,2017-11-06,2018-04-16,0,2682,4
UK,SENTINEL,INF_B,200,2019-11-11,2020-03-16,0,2682,5
