country,country_code,vacc_program,year,age1,age2,age3,age4
Bhutan,BTN,2,2031,18290.484126872936,58037.52184563729,0,36551.925147643604
Bhutan,BTN,2,2032,18305.666061555505,57391.65306007262,0,38150.369743863106
Bhutan,BTN,2,2033,18328.335203826206,56788.143430318065,0,39621.95255812854
Bhutan,BTN,2,2034,18345.81188162062,56232.27930369718,0,40974.85575993502
Bhutan,BTN,2,2035,18365.117538815208,55718.766726126334,0,42216.54360735015
Bhutan,BTN,2,2036,18523.058697498396,55861.811342216715,0,43767.24505737973
Bhutan,BTN,2,2037,18396.510451508457,54802.92158205577,0,44392.94673718037
Bhutan,BTN,2,2038,18402.50530184288,54395.28070288762,0,45340.85947201188
Bhutan,BTN,2,2039,18404.74190415474,54019.410662414215,0,46205.98647823156
Bhutan,BTN,2,2040,18405.143584582325,53664.71640159049,0,46987.95878508658
Bhutan,BTN,2,2041,18545.078411949533,53929.45102193061,0,48163.30777723594
Bhutan,BTN,2,2042,18395.96583281052,53029.45004896254,0,48341.559525659286
Bhutan,BTN,2,2043,18378.24541239302,52743.570113435984,0,48916.97888201023
Bhutan,BTN,2,2044,18361.05514290631,52473.578949410396,0,49434.56702351486
Bhutan,BTN,2,2045,18341.776189506476,52219.46962346309,0,49895.654141310304
Bhutan,BTN,2,2046,18316.46717691804,51981.24212928985,0,50303.80936783278
Bhutan,BTN,2,2047,18434.563948114224,52323.61138280111,0,51165.15419988578
Bhutan,BTN,2,2048,18266.57438727696,51525.96966700271,0,50982.12812122286
Bhutan,BTN,2,2049,18229.221914104342,51319.499088219076,0,51256.26211153467
Bhutan,BTN,2,2050,18192.553377003427,51118.32919312796,0,51493.64419684799
Bhutan,BTN,2,2051,18154.017200324928,50927.74719275226,0,51694.308049833766
Bhutan,BTN,2,2052,18257.2692875172,51306.57958493791,0,52378.74511126753
Bhutan,BTN,2,2053,18075.09520955739,50562.47164944481,0,51999.38402691511
Bhutan,BTN,2,2054,18026.535423363544,50387.764858814364,0,52108.53414880692
China,CHN,2,2025,29035117.044475853,139799701.2423773,0,123335489.96895608
China,CHN,2,2026,20612259.870612245,85954088.76555978,0,84705275.4488692
China,CHN,2,2027,20316788.72255353,83876853.87370875,0,87244680.72760174
China,CHN,2,2028,20172092.219695173,81907178.1004141,0,89614777.02199242
China,CHN,2,2029,20043681.450435136,80041650.40449387,0,91811488.56126171
China,CHN,2,2030,20086835.588000014,79146876.48925349,0,94762790.1627619
China,CHN,2,2031,19825758.986033935,76607918.28438054,0,95703323.3979558
China,CHN,2,2032,19720089.76282238,75031641.62053797,0,97410594.50666325
China,CHN,2,2033,19620820.77334875,73541899.24453539,0,98969252.12419328
China,CHN,2,2034,19523849.618050512,72133752.43447056,0,100386175.81411216
China,CHN,2,2035,19427929.904205576,70802304.28603762,0,101668197.49145211
China,CHN,2,2036,19486850.51880597,70315834.50351147,0,103851601.96873735
China,CHN,2,2037,19242562.489718225,68350258.88371387,0,103854635.26626167
China,CHN,2,2038,19141729.399164066,67221258.0600595,0,104770586.68490866
China,CHN,2,2039,19042069.56724305,66150303.717247434,0,105577239.75038418
China,CHN,2,2040,18940815.70365681,65133305.258393735,0,106280176.65024298
China,CHN,2,2041,18988644.942678846,64879746.177589275,0,107964668.6325885
China,CHN,2,2042,18739634.14946382,63245905.96085714,0,107397281.5695353
China,CHN,2,2043,18629448.696462344,62369262.8320158,0,107820810.21074903
China,CHN,2,2044,18519944.931604754,61532179.05619847,0,108161667.80036359
