country,country_code,vacc_program,year,age1,age2,age3,age4
New Caledonia,NCL,4,2045,4320.07717651907,8725.379511499585,0,10870.278835976416
New Caledonia,NCL,4,2046,4326.510550241422,8707.74359484216,0,10979.796094719319
New Caledonia,NCL,4,2047,4332.960305712753,8692.31216933674,0,11083.933828566465
New Caledonia,NCL,4,2048,4376.226773694586,8821.656968955727,0,11332.796141783963
New Caledonia,NCL,4,2049,4346.7581347337255,8668.065595700544,0,11274.974157448803
New Caledonia,NCL,4,2050,4351.725060405262,8659.244840587655,0,11360.375361161548
New Caledonia,NCL,4,2051,4355.528361204956,8650.426879604653,0,11440.834133687147
New Caledonia,NCL,4,2052,4360.716036157302,8643.8134121862,0,11516.634841129104
New Caledonia,NCL,4,2053,4401.773414460768,8779.094438267131,0,11744.984594176014
New Caledonia,NCL,4,2054,4369.698414575541,8634.998256172717,0,11655.035075006757
New Zealand,NZL,4,2025,166918.12280576985,507772.1032596584,0,485765.00662626646
New Zealand,NZL,4,2026,73542.94188580748,143396.26801250727,0,166539.07894912641
New Zealand,NZL,4,2027,69876.33746422421,143366.9423489388,0,169611.3179168171
New Zealand,NZL,4,2028,69403.35734412818,143212.61566763732,0,172614.13000507306
New Zealand,NZL,4,2029,69059.01647091306,142965.71288217124,0,175518.91427375434
New Zealand,NZL,4,2030,68807.65050854032,142659.28888705964,0,178308.02331907203
New Zealand,NZL,4,2031,69220.66866247286,144614.2373300587,0,183357.3463805107
New Zealand,NZL,4,2032,68528.2854666097,141947.28477703905,0,183516.44263438357
New Zealand,NZL,4,2033,68420.8550448172,141574.68010319682,0,185920.5763486438
New Zealand,NZL,4,2034,68367.1832401802,141202.1212469401,0,188198.19805420502
New Zealand,NZL,4,2035,68337.37613106903,140838.38042680934,0,190348.38133473386
New Zealand,NZL,4,2036,68910.24292252366,142759.4063292967,0,194957.3357382759
New Zealand,NZL,4,2037,68354.2395204573,140152.82947354348,0,194294.32833535536
New Zealand,NZL,4,2038,68339.38066528311,139837.54208835645,0,196087.1186465841
New Zealand,NZL,4,2039,68349.99306934894,139544.34483184264,0,197770.71042682952
New Zealand,NZL,4,2040,68363.53164382972,139270.9880631293,0,199349.48242119784
New Zealand,NZL,4,2041,68379.87859061679,139015.26720848423,0,200828.25381358527
New Zealand,NZL,4,2042,68981.49795196581,141018.82194404327,0,204960.59585910058
New Zealand,NZL,4,2043,68441.50819695766,138552.36914860067,0,203511.25234495066
New Zealand,NZL,4,2044,68428.94127403668,138349.51125253757,0,204713.93253728125
New Zealand,NZL,4,2045,68438.10730929524,138159.92498914074,0,205836.24738590213
New Zealand,NZL,4,2046,68443.42243207937,137987.97473961316,0,206878.7610246172
New Zealand,NZL,4,2047,68444.54575891435,137824.84243761227,0,207847.35903383497
New Zealand,NZL,4,2048,69028.13583953909,139903.2348654246,0,211609.28937318525
New Zealand,NZL,4,2049,68468.39639144026,137538.30319638216,0,209584.51502004254
New Zealand,NZL,4,2050,68436.974949950265,137410.39827193978,0,210348.61216947704
New Zealand,NZL,4,2051,68422.55428465136,137289.1511778505,0,211053.63020233618
New Zealand,NZL,4,2052,68406.19013506957,137174.517637824,0,211702.14396718208
New Zealand,NZL,4,2053,68972.27397130613,139282.7173946439,0,215224.20154937147
New Zealand,NZL,4,2054,68394.49054775723,136962.93083302642,0,212848.7965361461
Solomon Islands,SLB,4,2025,54426.432443986596,141056.4703311921,0,14409.748876287584
Solomon Islands,SLB,4,2026,24837.266094720468,40262.68437845747,0,8021.05833412132
Solomon Islands,SLB,4,2027,23681.33846113784,40701.545414618835,0,8844.039847242564
Solomon Islands,SLB,4,2028,23825.633424579788,41098.34931945098,0,9660.361635898294
Solomon Islands,SLB,4,2029,24043.410069761623,41466.49984083476,0,10463.649296378891
Solomon Islands,SLB,4,2030,24314.534050812763,41821.4234613783,0,11249.692644359562
Solomon Islands,SLB,4,2031,24829.841188520302,42856.053613536045,0,12142.60553888464
Solomon Islands,SLB,4,2032,24980.66704600335,42535.69343383692,0,12766.510796742796
Solomon Islands,SLB,4,2033,25341.942032151022,42908.23927801873,0,13490.869056740448
Solomon Islands,SLB,4,2034,25731.576978094618,43298.43471903895,0,14193.889796991725
Solomon Islands,SLB,4,2035,26141.434766744693,43708.470609215845,0,14877.504176005263
Solomon Islands,SLB,4,2036,26783.726394678375,44854.25713083044,0,15716.893043990873
Solomon Islands,SLB,4,2037,27013.532070793288,44592.487023373906,0,16186.27537046469
Solomon Islands,SLB,4,2038,27449.484119707355,45068.64328326019,0,16812.675761235834
Solomon Islands,SLB,4,2039,27904.239895360508,45569.06326156212,0,17422.11388908152
Solomon Islands,SLB,4,2040,28366.609476998576,46095.93717195297,0,18016.796433963897
Solomon Islands,SLB,4,2041,28835.05481981394,46647.06048087133,0,18596.94115149565
Solomon Islands,SLB,4,2042,29551.384437050896,47983.729487412995,0,19390.977978478943
Solomon Islands,SLB,4,2043,29809.84050845694,47817.66174800388,0,19721.094319063715
Solomon Islands,SLB,4,2044,30288.603398711035,48434.904405572015,0,20265.221402820225
Solomon Islands,SLB,4,2045,30783.707791078534,49076.411811300895,0,20799.541016264586
Solomon Islands,SLB,4,2046,31283.694752826217,49737.759677259266,0,21323.504148571643
Solomon Islands,SLB,4,2047,31789.486017663934,50418.9479635262,0,21840.62749426865
Solomon Islands,SLB,4,2048,32566.59809435482,51946.53221566783,0,22623.122856171412
Solomon Islands,SLB,4,2049,32838.58241145659,51840.86252931912,0,22857.742404454686
Solomon Islands,SLB,4,2050,33349.09448491547,52581.55541718614,0,23357.07736955903
